country_code,city,funding_total_usd,funding_rounds,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,company_count
ARE,Abu Dhabi,31250000,3,2003.0,1250000,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ARE,Dubai,617684250,63,92475.0,18218000,244345000,50000,15000,500000,0,3786250,9770000,341000000,0,0,0,0,12700000,12000000,13000000,0,0,0,0,0,49
ARG,Buenos Aires,235407920,200,223144.0,14043003,206309446,0,5912393,650000,3704583,4508495,280000,0,0,0,0,0,31744083,76500000,50000000,0,0,0,0,0,121
ARG,Córdoba,838083,6,8034.0,414863,300000,0,0,0,0,123220,0,0,0,0,0,0,300000,0,0,0,0,0,0,0,4
ARG,Finca Elisa,1230000,1,2001.0,0,1230000,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,0,0,0,0,1
ARG,Jujuy,103255,2,2013.0,103255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ARG,Mar Del Plata,25000,1,2011.0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARG,Mendoza,1540000,3,2008.0,40000,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ARG,Palermo,261408,6,2012.0,261408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ARG,Puerto Madero,500000,1,2007.0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARG,San Isidro,600000,1,2010.0,0,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARM,Yerevan,26812976,5,4017.0,295476,26517500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AUS,Abbotsford,969533,2,2013.0,969533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUS,Adelaide,10460000,6,4010.0,40000,8490000,0,0,0,1930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
